Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
110001 Alta Floresta D'Oeste,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
110037 Alto Alegre dos Parecis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110040 Alto Paraíso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110034 Alvorada D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110002 Ariquemes,6,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
110045 Buritis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110003 Cabixi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110060 Cacaulândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110004 Cacoal,-,-,-,-,-,18,-,-,9,-,-,-,-,-,-,-,-,-,-,-,27
110070 Campo Novo de Rondônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110080 Candeias do Jamari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110090 Castanheiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110005 Cerejeiras,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
110092 Chupinguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110006 Colorado do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110007 Corumbiara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110008 Costa Marques,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110094 Cujubim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110009 Espigão D'Oeste,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110100 Governador Jorge Teixeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110010 Guajará-Mirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110110 Itapuã do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110011 Jaru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110012 Ji-Paraná,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
110013 Machadinho D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110120 Ministro Andreazza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110130 Mirante da Serra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110140 Monte Negro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110014 Nova Brasilândia D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110033 Nova Mamoré,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,10
110143 Nova União,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110050 Novo Horizonte do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110015 Ouro Preto do Oeste,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110145 Parecis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110018 Pimenta Bueno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110146 Pimenteiras do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110020 Porto Velho,22,7,4,3,-,118,-,-,9,-,-,36,-,-,-,-,35,6,-,2,242
110025 Presidente Médici,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110147 Primavera de Rondônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110026 Rio Crespo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110028 Rolim de Moura,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
110029 Santa Luzia D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110148 São Felipe D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110149 São Francisco do Guaporé,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110032 São Miguel do Guaporé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110150 Seringueiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110155 Teixeirópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110160 Theobroma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110170 Urupá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110175 Vale do Anari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110180 Vale do Paraíso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110030 Vilhena,10,-,-,37,-,10,-,-,-,-,-,-,-,-,-,-,6,-,-,-,63
110000 Município ignorado - RO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120001 Acrelândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120005 Assis Brasil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120010 Brasiléia,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13
120013 Bujari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120017 Capixaba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120020 Cruzeiro do Sul,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
120025 Epitaciolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120030 Feijó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120032 Jordão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120033 Mâncio Lima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120034 Manoel Urbano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120035 Marechal Thaumaturgo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120038 Plácido de Castro,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
120080 Porto Acre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120039 Porto Walter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120040 Rio Branco,10,-,-,19,-,33,-,-,11,-,-,15,-,-,-,-,16,13,4,12,133
120042 Rodrigues Alves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120043 Santa Rosa do Purus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120050 Sena Madureira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120045 Senador Guiomard,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
120060 Tarauacá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120070 Xapuri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120000 Município ignorado - AC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130002 Alvarães,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130006 Amaturá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130008 Anamã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130010 Anori,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130014 Apuí,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,6
130020 Atalaia do Norte,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130030 Autazes,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130040 Barcelos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130050 Barreirinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130060 Benjamin Constant,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
130063 Beruri,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130068 Boa Vista do Ramos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130070 Boca do Acre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130080 Borba,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130083 Caapiranga,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3
130090 Canutama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130100 Carauari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
130110 Careiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130115 Careiro da Várzea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130120 Coari,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
130130 Codajás,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130140 Eirunepé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130150 Envira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130160 Fonte Boa,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130165 Guajará,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130170 Humaitá,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,12
130180 Ipixuna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130185 Iranduba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130190 Itacoatiara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130195 Itamarati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130200 Itapiranga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
130210 Japurá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130220 Juruá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130230 Jutaí,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130240 Lábrea,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
130250 Manacapuru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9
130255 Manaquiri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130260 Manaus,186,8,-,96,11,181,-,-,107,1,-,59,-,-,10,-,73,52,8,1,793
130270 Manicoré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130280 Maraã,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130290 Maués,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130300 Nhamundá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130310 Nova Olinda do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130320 Novo Airão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130330 Novo Aripuanã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130340 Parintins,-,-,12,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,31
130350 Pauini,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130353 Presidente Figueiredo,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130356 Rio Preto da Eva,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130360 Santa Isabel do Rio Negro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130370 Santo Antônio do Içá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130380 São Gabriel da Cachoeira,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130390 São Paulo de Olivença,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130395 São Sebastião do Uatumã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130400 Silves,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130406 Tabatinga,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,7
130410 Tapauá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130420 Tefé,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5
130423 Tonantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130426 Uarini,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130430 Urucará,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
130440 Urucurituba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130000 Município ignorado - AM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140005 Alto Alegre,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140002 Amajari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140010 Boa Vista,-,-,-,18,-,17,-,-,10,-,-,8,-,-,-,-,20,6,-,-,79
140015 Bonfim,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140017 Cantá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140020 Caracaraí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140023 Caroebe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140028 Iracema,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140030 Mucajaí,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140040 Normandia,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140045 Pacaraima,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140047 Rorainópolis,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140050 São João da Baliza,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140060 São Luiz,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
140070 Uiramutã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140000 Município ignorado - RR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150010 Abaetetuba,-,-,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
150013 Abel Figueiredo,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150020 Acará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150030 Afuá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150034 Água Azul do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150040 Alenquer,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,9
150050 Almeirim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150060 Altamira,10,-,-,6,-,10,-,-,5,-,-,5,-,-,-,-,14,-,-,-,50
150070 Anajás,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150080 Ananindeua,27,-,-,9,-,58,-,-,15,-,-,10,-,2,-,-,6,-,-,-,127
150085 Anapu,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150090 Augusto Corrêa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150095 Aurora do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150100 Aveiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150110 Bagre,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150120 Baião,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150125 Bannach,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150130 Barcarena,-,-,-,1,-,10,-,-,-,-,-,10,-,-,-,-,10,-,-,-,31
150140 Belém,175,7,10,50,-,138,6,-,45,-,-,83,-,-,10,-,73,16,-,-,613
150145 Belterra,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150150 Benevides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150157 Bom Jesus do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150160 Bonito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150170 Bragança,30,-,-,3,-,10,-,-,10,-,-,10,-,-,-,-,20,-,-,-,83
150172 Brasil Novo,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
150175 Brejo Grande do Araguaia,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150178 Breu Branco,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150180 Breves,-,-,-,3,-,7,-,-,5,-,-,5,-,-,-,-,-,-,-,-,20
150190 Bujaru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150200 Cachoeira do Arari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150195 Cachoeira do Piriá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150210 Cametá,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
150215 Canaã dos Carajás,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150220 Capanema,-,-,-,2,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
150230 Capitão Poço,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150240 Castanhal,-,-,-,4,-,13,-,-,-,-,-,-,-,-,-,-,12,-,-,-,29
150250 Chaves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150260 Colares,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150270 Conceição do Araguaia,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,9
150275 Concórdia do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150276 Cumaru do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150277 Curionópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150280 Curralinho,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150285 Curuá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150290 Curuçá,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
150293 Dom Eliseu,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150295 Eldorado do Carajás,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150300 Faro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150304 Floresta do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150307 Garrafão do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150309 Goianésia do Pará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150310 Gurupá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150320 Igarapé-Açu,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150330 Igarapé-Miri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150340 Inhangapi,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150345 Ipixuna do Pará,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150350 Irituia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150360 Itaituba,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,12
150370 Itupiranga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150375 Jacareacanga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150380 Jacundá,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
150390 Juruti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150400 Limoeiro do Ajuru,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150405 Mãe do Rio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
150410 Magalhães Barata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150420 Marabá,10,-,-,8,-,20,-,-,9,-,-,9,-,-,-,-,6,-,-,-,62
150430 Maracanã,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
150440 Marapanim,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150442 Marituba,-,-,-,5,-,7,-,-,-,-,-,-,-,-,-,-,8,-,-,-,20
150445 Medicilândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150450 Melgaço,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150460 Mocajuba,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150470 Moju,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150475 Mojuí dos Campos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150480 Monte Alegre,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
150490 Muaná,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
150495 Nova Esperança do Piriá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150497 Nova Ipixuna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150500 Nova Timboteua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150503 Novo Progresso,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150506 Novo Repartimento,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150510 Óbidos,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150520 Oeiras do Pará,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150530 Oriximiná,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150540 Ourém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150543 Ourilândia do Norte,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150548 Pacajá,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150549 Palestina do Pará,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150550 Paragominas,-,-,-,5,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25
150553 Parauapebas,-,-,-,9,-,10,-,-,-,-,-,-,-,-,-,-,10,-,-,-,29
150555 Pau D'Arco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150560 Peixe-Boi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150563 Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150565 Placas,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150570 Ponta de Pedras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150580 Portel,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150590 Porto de Moz,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
150600 Prainha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150610 Primavera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150611 Quatipuru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150613 Redenção,-,-,1,5,-,9,-,-,5,-,-,5,-,-,-,-,-,-,-,-,25
150616 Rio Maria,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
150618 Rondon do Pará,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150619 Rurópolis,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
150620 Salinópolis,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
